"number","short_description","description","urgency","impact","category","assignment_group","resolution"
"INC00375","Hardware compatibility issue with fee calculation module","Upon opening the Merchant Agreement PDF in the Customer UI, the text appears garbled and unreadable for merchants.",2,2,"Network","Network Ops","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00121","Error saving merchant data in Sales UI","Merchant unable to locate the e-signature field within the Merchant Agreement PDF for completing the onboarding process.",2,2,"Software","Network Ops","Backend developers investigated the issue and resolved the database conflict causing the duplication error. Sales Agent successfully continued with setting up the new location."
"INC00147","Network timeout during merchant equipment selection","After configuring fees and services for a new merchant location, Sales Agent noticed that the changes were not reflecting in the system. This discrepancy caused delays in finalizing the onboarding process.",3,3,"Access","IT Support","The issue was identified as a server-side bug causing the error. Developers fixed the bug and deployed a patch to resolve the 500 error."
"INC00384","Fees/services configuration not saving","An error in the system caused incorrect fees to be applied to a merchant's account, resulting in financial discrepancies and potential loss of trust.",1,3,"Software","IT Support","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00051","Access permissions error for Merchant Agreement PDF","A merchant encounters an error when trying to electronically sign the Merchant Agreement in the Customer UI.",2,2,"Network","Network Ops","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00255","Sales Agent unable to access merchant equipment options","Sales Agents noticed that the service fees configured for a merchant were not displaying accurately on the summary page, potentially causing confusion during the final review with the merchant.",1,2,"Access","IT Support","Investigated server-side PDF rendering issue and implemented a fix to ensure proper loading for all users."
"INC00072","API endpoint returning 500 error for merchant data upload","Sales Agents noticed that the service fees configured for a merchant were not displaying accurately on the summary page, potentially causing confusion during the final review with the merchant.",2,3,"Software","Network Ops","Conducted network diagnostics, discovered a bottleneck in the network infrastructure. Implemented QoS settings to prioritize data submission traffic and alleviate timeouts."
"INC00164","Error message 'Location already exists' when adding new location","When a merchant attempts to e-sign the agreement in the Customer UI, the interface becomes unresponsive, preventing completion of the signing process.",2,2,"Software","Network Ops","The issue was resolved by updating the system database to include the 'ABC-2000' POS terminal model as an available option for selection."
"INC00457","Incorrect fees calculation for bundled services","An error in the system caused incorrect fees to be applied to a merchant's account, resulting in financial discrepancies and potential loss of trust.",2,3,"Software","IT Support","Provided Sales Agent with a list of supported hardware for the fee configuration tool and assisted in setting up a compatible device, resolving the issue."
"INC00265","Network connectivity issue preventing location addition","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",3,2,"Software","IT Support","The network team identified a routing issue causing the intermittent connections and resolved it by optimizing the network configuration to ensure stable and uninterrupted service."
"INC00124","Network timeout during merchant equipment selection","Merchant data entered by Sales Agents in the Sales UI is not transferring to the Processing stage even after completion, halting the onboarding process for affected merchants.",2,3,"Access","IT Support","The configuration settings for fees and services were manually verified in the backend system. A script was run to reapply the correct configurations for the new location, ensuring alignment with the merchant agreement."
"INC00039","Sales Agent unable to access fee configuration page","Sales Agent is facing compatibility issues between selected equipment and merchant requirements, resulting in connectivity disruptions. Merchant productivity impacted.",2,3,"Access","IT Support","Identified a configuration error in the API authentication settings, which was corrected to restore data retrieval functionality."
"INC00090","Fee configuration not saving for new merchant","An issue arose where certain hardware configurations selected by Sales Agents were not compatible with the fee calculation module, resulting in incorrect fee estimations and potential financial discrepancies.",2,2,"Hardware","IT Support","Implemented a software patch to fix the calculation algorithm, ensuring accurate fee configurations for all new and existing merchant accounts in the system."
"INC00276","Error saving merchant data in Sales UI","During the onboarding process, a Sales Agent faced a hardware issue with a payment terminal not integrating properly with the system, causing delays in setting up payment processing for the merchant.",3,1,"Software","IT Support","Implemented a software patch to fix the calculation algorithm, ensuring accurate fee configurations for all new and existing merchant accounts in the system."
"INC00101","Network timeout during merchant equipment selection","Sales Agent encountered an error while configuring POS terminals for a merchant, leading to incorrect settings. Merchant transactions are impacted.",3,2,"Hardware","IT Support","Developers identified a software bug that was blocking the transition to the PROCESSING stage. A code fix was implemented and deployed to ensure that merchant data progresses correctly after e-signing the agreement."
"INC00183","Merchant data not displaying in Sales UI","Sales Agent faced intermittent network disconnections during equipment selection, causing data loss and frustration; Sales Agent affected.",2,2,"Access","Network Ops","Developers identified a bug in the linking functionality and released a hotfix. Sales Agent successfully added the new location to the existing merchant ID."
"INC00259","Unable to select specific POS terminal model","Sales Agent's device experienced a hardware failure during merchant onboarding, hindering the input of critical merchant information.",2,2,"Software","IT Support","Investigated server-side PDF rendering issue and implemented a fix to ensure proper loading for all users."
"INC00018","Fees/services configuration missing for new location","The Merchant reported a touchscreen malfunction on their device, making it impossible for them to e-sign the agreement in the Customer UI, hindering the onboarding progress.",1,2,"Software","IT Support","Resolved the issue by clearing the browser cache and restarting the Sales UI server. Sales Agent can now onboard merchants without any further interruptions."
"INC00367","Equipment Selection Error for High-Volume Merchant","Merchants intermittently experienced data loss while reviewing the merchant agreement, leading to frustration and delays in the onboarding process.",1,1,"Software","IT Support","Investigated and identified a server-side issue causing the PDF loading failure. Applied a patch to the system, restoring normal PDF viewing functionality for all merchants."
"INC00141","Network timeout during equipment selection process","The Merchant reported that the PDF document for reviewing the agreement is not loading in the Customer UI, preventing them from proceeding with the onboarding process.",2,2,"Software","IT Support","Investigated and fixed the issue by updating the UI application, ensuring that upon login, the Merchant now correctly sees the agreement for review without encountering a blank screen."
"INC00150","Inability to configure services for additional location","After selecting equipment for a new location under an existing merchant ID, the Sales Agent noticed that the equipment choices were not saved. This caused delays in the onboarding process for the additional location.",2,2,"Software","IT Support","The issue was rectified by rolling back the incorrect fees, conducting a thorough audit of all recent fee changes, and ensuring the accurate fees were applied."
"INC00474","Hardware failure on Sales Agent's device","A Sales Agent is unable to access the fee configuration page in the Merchant Onboarding Application, hindering the ability to set up customized fees for a new merchant account.",2,3,"Software","IT Support","Reset the Sales Agent's access credentials for the onboarding portal associated with the affected merchant ID, allowing them to regain access and continue with the onboarding process without further interruptions."
"INC00475","Merchant UI displaying blank screen post-login","Sales Agent raised a concern that the merchant data being displayed in the Sales UI is showing incorrect information not matching the actual details provided.",2,2,"Hardware","IT Support","Discovered a backend API communication issue preventing data transfer. Resolved the API connection problem, allowing merchant data to flow seamlessly to the Processing stage for further processing."
"INC00409","Sales UI not loading for Sales Agent","Certain sales agents are facing an access permission error that is blocking them from configuring fees and services for specific merchants. This issue is hindering the customization of service offerings.",1,3,"Software","IT Support","Reset the Sales Agent's access credentials for the onboarding portal associated with the affected merchant ID, allowing them to regain access and continue with the onboarding process without further interruptions."
"INC00159","Unable to add new location for merchant ID 12345","Merchants are unable to view the PDF Merchant Agreement after logging in to the Customer UI.",3,2,"Software","IT Support","Collaborated with the hardware vendor to troubleshoot the integration problem, resulting in successful configuration of the payment terminal for seamless merchant transactions."
"INC00061","Inability to scan documents due to scanner malfunction","Certain sales agents are facing an access permission error that is blocking them from configuring fees and services for specific merchants. This issue is hindering the customization of service offerings.",3,2,"Access","Network Ops","The problem was resolved by performing a system cache refresh, ensuring that the equipment selection dropdown functioned properly and allowed Sales Agents to choose equipment efficiently."
"INC00404","Unable to select equipment for merchant","Intermittent network connectivity issues are disrupting the Merchant's ability to smoothly review the agreement on the Customer UI, causing delays and frustration.",2,2,"Software","Network Ops","Reconfigured POS terminals with the correct settings based on merchant requirements, ensuring transactions are processed accurately."
"INC00466","Merchant Agreement PDF displaying distorted content","Intermittent occurrences of 500 internal server errors reported when making API calls for merchant onboarding, disrupting the data submission flow.",2,1,"Software","IT Support","Investigated and optimized network routing for the equipment selection module, resolving the timeouts and improving system responsiveness."
"INC00013","Error accessing merchant agreement PDF","The Sales Agent faced difficulties in scanning and uploading essential documents for the merchant onboarding process due to a scanner malfunction. This issue significantly impacted the efficiency of document submission and verification.",3,2,"Access","IT Support","Implemented additional data backup mechanisms in the review stage to prevent further data loss incidents, ensuring a smoother onboarding experience for merchants."
"INC00356","Equipment selection dropdown missing options","A merchant encounters an error when trying to electronically sign the Merchant Agreement in the Customer UI.",2,1,"Software","IT Support","Identified a font rendering issue in the PDF viewer plugin. Updated the plugin to the latest version, resolving the text display problem."
"INC00113","PDF not loading for Merchant Agreement review","A Sales Agent reported being unable to access the fee configuration module in the application, hindering their ability to customize services for a new merchant.",1,1,"Software","Network Ops","Guided the Merchant to the correct location of the e-signature field within the PDF, resolving the issue."
"INC00209","Network timeout during merchant equipment selection","Merchants are experiencing network timeouts when trying to retrieve and e-sign the Merchant Agreement PDF. This is causing delays in the onboarding process as merchants are unable to proceed.",2,3,"Software","IT Support","Solved the problem by granting the necessary access permissions to the Sales Agent's account for seamless retrieval of the Merchant Agreement PDF."
"INC00370","Merchant data not displaying in Sales UI","During the onboarding process, a Sales Agent faced a hardware issue with a payment terminal not integrating properly with the system, causing delays in setting up payment processing for the merchant.",3,2,"Access","IT Support","Performed troubleshooting on the scanner, identified a hardware fault, and replaced the malfunctioning component. Subsequently, the Sales Agent was able to scan and upload the required documents without further impediments."
"INC00267","Unable to select equipment for merchant","Sales Agent faced intermittent network disconnections during equipment selection, causing data loss and frustration; Sales Agent affected.",2,2,"Hardware","Network Ops","The database was checked for any existing duplicate merchant IDs. The system was updated to include a validation check to prevent the reoccurrence of duplicate IDs during onboarding."
"INC00088","Intermittent Connectivity Issue During Equipment Selection","While submitting location data for a merchant ID, a sudden network outage occurred, interrupting the data transmission process. This outage impacted the Sales Agent's ability to finalize the onboarding for the merchant, causing delays and data loss.",1,2,"Software","IT Support","The issue was identified as a compatibility issue with the specific POS model and was resolved by updating the system to support the new equipment."
"INC00351","Sales Agent unable to access merchant equipment options","Sales Agent encountered a hardware compatibility issue while configuring fees for a merchant, leading to incorrect fee settings.",3,2,"Access","Network Ops","Reviewed and adjusted the permission settings for the Merchant UI, allowing the merchant to successfully e-sign the agreement and proceed with onboarding."
"INC00218","Unable to add new equipment for merchant","Some merchants receive authentication errors when attempting to log in to the Customer UI to review and e-sign the Merchant Agreement, preventing access to the document.",1,3,"Software","IT Support","Analyzed server logs to pinpoint the root cause of the intermittent 500 errors. Identified and resolved a database connectivity issue, stabilizing API calls and ensuring consistent data submission."
"INC00117","Inability to configure services for additional location","Sales Agent reported that the system did not recognize the merchant ID when trying to onboard an additional location. This led to a mismatch in data and prevented the new location from being linked to the correct merchant.",1,3,"Software","IT Support","Investigated server-side PDF rendering issue and implemented a fix to ensure proper loading for all users."
"INC00388","Sales Agent unable to access fee configuration module","New Sales Agent reported inability to configure fees/services due to access denial, hindering merchant onboarding process; Sales Agent affected.",1,2,"Software","Network Ops","The configuration settings for fees and services were manually verified in the backend system. A script was run to reapply the correct configurations for the new location, ensuring alignment with the merchant agreement."
"INC00335","Fee configuration not saving for new merchant","A Sales Agent reported being unable to access the merchant equipment selection options within the Sales UI, hindering the configuration of new merchant accounts.",1,2,"Hardware","IT Support","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00230","Merchant Agreement PDF displaying distorted content","Sales Agent encounters an issue where equipment selection dropdown menu is unresponsive for a specific merchant profile.",2,1,"Software","IT Support","A backend synchronization issue was identified and resolved by initiating a manual sync process. Sales Agent confirmed that the fees and services configurations were now accurately displayed."
"INC00486","Inability to submit Merchant Agreement for e-signature","An error occurs when a Sales Agent tries to save merchant data in the Sales UI, leading to incomplete information and hindered onboarding process.",3,1,"Hardware","IT Support","The problem was resolved by identifying a bug in the fees calculation algorithm and applying a patch to ensure accurate calculation of fees for bundled services."
"INC00059","Unable to retrieve merchant data via API","Sales Agent reported that the system did not recognize the merchant ID when trying to onboard an additional location. This led to a mismatch in data and prevented the new location from being linked to the correct merchant.",1,3,"Access","IT Support","Identified and fixed the software bug causing incorrect fee calculations. Issued refunds to affected merchants and verified correct fee application."
"INC00316","Equipment selection not saved for new location","Merchants encounter an 'Invalid Signature' error message when trying to electronically sign the Merchant Agreement in the Customer UI, preventing successful completion of the e-signing process.",2,2,"Hardware","IT Support","Identified a permission issue specific to the Sales Agent's account and provided the necessary access rights, allowing seamless equipment selection for merchant onboarding."
"INC00010","Fees/services configuration not saving","Sales Agent reported inability to load Sales UI when onboarding a new merchant, impacting multiple ongoing merchant registrations.",3,1,"Access","IT Support","Identified and rectified the network connectivity issue by troubleshooting the router configuration, ensuring stable and uninterrupted access for the Merchant to review and e-sign the agreement."
"INC00149","Payment terminal integration failure during merchant setup","Merchants are unable to view the PDF Merchant Agreement after logging in to the Customer UI.",2,2,"Hardware","IT Support","The database was checked for any existing duplicate merchant IDs. The system was updated to include a validation check to prevent the reoccurrence of duplicate IDs during onboarding."
"INC00401","Network timeout when retrieving merchant agreement PDF","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",3,3,"Hardware","IT Support","The faulty hardware component causing the malfunction was identified and replaced, restoring the ability for sales agents to select equipment for merchants without any issues."
"INC00177","Intermittent connection issues while configuring services","Sales Agent encountered an error while trying to access the Merchant Agreement PDF for a new merchant, hindering the onboarding process.",1,2,"Software","Network Ops","IT support granted the necessary access permissions to the affected sales agents, allowing them to successfully configure fees and services for the merchants without encountering any further permission errors."
"INC00446","Merchant UI displaying blank screen post-login","Sales Agent reported inability to load Sales UI when onboarding a new merchant, impacting multiple ongoing merchant registrations.",2,2,"Software","Network Ops","Discovered a backend API communication issue preventing data transfer. Resolved the API connection problem, allowing merchant data to flow seamlessly to the Processing stage for further processing."
"INC00428","Payment terminal integration failure during merchant setup","During the onboarding process for an additional location, the Sales Agent received an error message stating 'Location already exists' even though it's a new location being added. This issue caused confusion and delays in completing the merchant setup.",2,1,"Hardware","IT Support","Investigated and identified a server-side issue causing the PDF loading failure. Applied a patch to the system, restoring normal PDF viewing functionality for all merchants."
"INC00470","Network timeout when retrieving merchant agreement PDF","While trying to onboard an additional location for an existing merchant ID, the Sales Agent encountered a hardware issue with the POS terminal, preventing the configuration process. This affected the Sales Agent's ability to complete the onboarding for the merchant.",2,2,"Software","IT Support","The issue was resolved by updating the system database to include the 'ABC-2000' POS terminal model as an available option for selection."
"INC00187","Merchant unable to e-sign agreement","Sales Agent reported inability to retrieve merchant information through the REST API, impacting onboarding process.",3,1,"Hardware","IT Support","The problem was resolved by updating the fee calculation module to include checks for hardware compatibility. Sales Agents were then able to accurately calculate fees for merchants without encountering compatibility issues."
"INC00419","Merchant ID duplication error during new location setup","Sales Agent encountered an issue where a specific POS terminal model, 'ABC-2000', could not be selected while configuring equipment for a merchant.",2,2,"Software","Network Ops","The issue was resolved by conducting a thorough network analysis to identify and address the root cause of the latency spikes. By optimizing network configurations and addressing bottlenecks, consistent API response times were restored, enhancing the efficiency of the onboarding process."
"INC00015","Fee Calculation Bug","Intermittent occurrences of 500 internal server errors reported when making API calls for merchant onboarding, disrupting the data submission flow.",2,3,"Access","IT Support","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00430","Access permission error preventing merchant fee configuration","Sales Agent experienced frequent network timeouts when selecting equipment for a merchant, causing delays in the onboarding process.",2,2,"Software","IT Support","Reviewed and adjusted the permission settings for the Merchant UI, allowing the merchant to successfully e-sign the agreement and proceed with onboarding."
"INC00328","Sales Agent unable to access fee configuration page","Merchant facing difficulties in submitting the e-signed Merchant Agreement through the UI, hindering the onboarding process.",2,3,"Access","Network Ops","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00094","Equipment selection dropdown missing options","Sales agents are encountering a hardware malfunction that is preventing them from selecting equipment for new merchants during the onboarding process. This issue is limiting the options available to merchants.",2,2,"Hardware","IT Support","Network engineers investigated and found a bottleneck in the network configuration. After optimizing the network settings, merchants were able to successfully retrieve the agreement PDF without timeouts."
"INC00241","Sales Agent unable to access fee configuration module","While submitting location data for a merchant ID, a sudden network outage occurred, interrupting the data transmission process. This outage impacted the Sales Agent's ability to finalize the onboarding for the merchant, causing delays and data loss.",2,1,"Access","IT Support","Adjusted Sales Agent's access rights to correctly configure service fees for merchants. Resumed the onboarding process for the affected merchant."
"INC00447","Intermittent Connectivity Issue During Equipment Selection","Sales Agent encountered a hardware compatibility issue while configuring fees for a merchant, leading to incorrect fee settings.",1,3,"Access","IT Support","Analyzed the e-signature module and identified a validation issue causing the error. Applied a fix to the system, allowing merchants to successfully e-sign the Agreement without encountering the 'Invalid Signature' message."
"INC00115","Equipment Configuration Freeze on Legacy Browser","Merchant facing difficulties in submitting the e-signed Merchant Agreement through the UI, hindering the onboarding process.",2,1,"Software","IT Support","The database was checked for any existing duplicate merchant IDs. The system was updated to include a validation check to prevent the reoccurrence of duplicate IDs during onboarding."
"INC00158","Payment terminal integration failure during merchant setup","Sales Agents noticed that the service fees configured for a merchant were not displaying accurately on the summary page, potentially causing confusion during the final review with the merchant.",3,3,"Software","IT Support","Resolved by clearing browser cache and cookies, ensuring proper functionality of the login button."
"INC00271","Sales UI not loading merchant data","Sales Agent reported that the Sales UI is not loading merchant data when trying to onboard a new merchant.",1,2,"Network","IT Support","Adjusted session timeout settings to allow for a longer duration. Instructed merchants to refresh the page and re-sign the agreement successfully."
"INC00471","Blank screen encountered post-login during agreement review","Sales agents are encountering a hardware malfunction that is preventing them from selecting equipment for new merchants during the onboarding process. This issue is limiting the options available to merchants.",3,2,"Hardware","Network Ops","Solved the problem by granting the necessary access permissions to the Sales Agent's account for seamless retrieval of the Merchant Agreement PDF."
"INC00326","Sales Agent unable to access merchant equipment options","Merchants are unable to view the PDF Merchant Agreement after logging in to the Customer UI.",2,2,"Software","IT Support","Performed a system cache refresh to reload the merchant data and ensured proper data mapping to display information accurately in the Sales UI."
"INC00073","Unable to add new equipment for merchant","A software bug in the fee calculation module is causing incorrect fees to be applied to merchant accounts by Sales Agents. Several merchants have been overcharged.",2,1,"Software","Network Ops","Investigated the issue and found a misconfiguration in the equipment database linkage. Corrected the configuration, and now Sales Agents can see and select equipment options as intended."
"INC00473","Sales Agent unable to access fee configuration page","Intermittent network connectivity issues are disrupting the Merchant's ability to smoothly review the agreement on the Customer UI, causing delays and frustration.",1,1,"Software","IT Support","The faulty hardware component causing the malfunction was identified and replaced, restoring the ability for sales agents to select equipment for merchants without any issues."
"INC00201","Equipment selection dropdown missing options","Sales Agent using a legacy browser experienced a freeze while configuring equipment, leading to incomplete data entry; Sales Agent affected.",2,1,"Access","IT Support","Analyzed the e-signature module and identified a validation issue causing the error. Applied a fix to the system, allowing merchants to successfully e-sign the Agreement without encountering the 'Invalid Signature' message."
"INC00001","Sales Agent unable to access fee configuration module","Sales Agent's device experienced a hardware failure during merchant onboarding, hindering the input of critical merchant information.",2,2,"Software","IT Support","Solved the problem by granting the necessary access permissions to the Sales Agent's account for seamless retrieval of the Merchant Agreement PDF."
"INC00238","Intermittent data loss in merchant review stage","Sales Agent observes that the system is inaccurately calculating processing fees for a specific merchant account, leading to discrepancies in the final agreement.",2,3,"Hardware","IT Support","Identified and fixed the software bug causing incorrect fee calculations. Issued refunds to affected merchants and verified correct fee application."
"INC00272","Access permissions error for Merchant Agreement PDF","Merchants report that the content of the Merchant Agreement PDF appears distorted and unreadable when accessed for review and e-signature.",3,2,"Hardware","Network Ops","Investigated and fixed a backend validation issue, enabling the Merchant to successfully submit the e-signed agreement."
"INC00242","Access permission error preventing merchant fee configuration","While trying to onboard an additional location for an existing merchant ID, the Sales Agent encountered a hardware issue with the POS terminal, preventing the configuration process. This affected the Sales Agent's ability to complete the onboarding for the merchant.",2,2,"Software","IT Support","Database records for the merchant were manually checked and the issue was identified as a synchronization problem. The synchronization process was restarted to resolve the issue."
"INC00264","Intermittent latency spikes affecting API response times","Sales Agent noticed that any changes made to fees/services configurations for a merchant are not saving properly in the system.",2,2,"Access","IT Support","Guided the Merchant to the correct location of the e-signature field within the PDF, resolving the issue."
"INC00222","Network outage during location data submission for merchant ID","Sales Agent reports that configured fees and services for a new merchant are not saving upon submission, leading to incorrect pricing in the agreement.",2,1,"Software","IT Support","Investigated API logs, identified a server-side issue causing data retrieval failures. Applied a patch to the API server to resolve the issue."
"INC00235","Fee Configuration Permission Denial for New Sales Agent","Sales Agent experienced frequent network timeouts when selecting equipment for a merchant, causing delays in the onboarding process.",2,1,"Software","IT Support","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00229","Fee Calculation Bug","After configuring fees and services for a new merchant location, Sales Agent noticed that the changes were not reflecting in the system. This discrepancy caused delays in finalizing the onboarding process.",2,1,"Hardware","Network Ops","Resolved the issue by clearing the browser cache and refreshing the page, ensuring the PDF now loads correctly for the Merchant."
"INC00199","Unable to add new location due to POS terminal malfunction","Merchants encountering access permissions error when trying to view the Merchant Agreement PDF for e-signing, causing delays in agreement completion.",1,2,"Access","IT Support","Conducted a thorough review of the fee calculation algorithm, identified a logic flaw, and applied a fix to ensure accurate processing fee calculation for the merchant."
"INC00444","Error message 'Location already exists' when adding new location","Merchant experiencing issues with loading the Merchant Agreement PDF for review and e-signing.",2,1,"Software","IT Support","Access permissions for the Sales Agent role were reviewed and corrected to ensure proper access to the fee configuration page, enabling seamless configuration of fees for merchant accounts."
"INC00070","Merchant UI displaying blank screen post-login","Sales Agent configured fees for an additional location of a merchant, but the changes are not reflecting in the system, causing discrepancies in the pricing.",3,2,"Software","IT Support","Backend developers investigated the issue and resolved the database conflict causing the duplication error. Sales Agent successfully continued with setting up the new location."
"INC00178","Sales Agent unable to access fee configuration page","Upon successful login, the Merchant encounters a blank screen instead of the expected Merchant Agreement review interface.",2,2,"Software","IT Support","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00058","Authentication error when logging in to review Agreement","Sales Agent encountered a system glitch where high-volume merchant's selected equipment did not get saved, causing delays in processing; Merchant affected.",1,2,"Software","IT Support","Guided the Merchant to the correct location of the e-signature field within the PDF, resolving the issue."
"INC00498","Unable to select specific POS terminal model","During the data upload process for a new merchant, the API endpoint consistently returns a 500 error, preventing sales agents from successfully onboarding the merchant.",1,1,"Software","IT Support","The network timeout issue was addressed by optimizing network settings and increasing timeout thresholds, allowing Sales Agents to successfully complete the equipment selection process without further interruptions."
"INC00268","Sales Agent unable to access fee configuration page","Sales Agent encountered an error when trying to associate a new store location with an existing merchant ID, preventing the onboarding process.",2,2,"Software","IT Support","Investigated and found a bug in the e-signature module. Applied a patch to fix the issue, allowing the merchant to successfully e-sign the agreement."
"INC00310","Merchant Agreement e-signature field missing","Merchants are unable to view the PDF Merchant Agreement after logging in to the Customer UI.",2,1,"Software","IT Support","A backend synchronization issue was identified and resolved by initiating a manual sync process. Sales Agent confirmed that the fees and services configurations were now accurately displayed."
"INC00193","Merchant ID duplication error during new location setup","The dropdown menu for selecting equipment is not populating in the Sales UI, preventing Sales Agents from choosing the necessary devices for merchants.",2,2,"Software","Network Ops","Guided the Merchant to the correct location of the e-signature field within the PDF, resolving the issue."
"INC00041","Merchant ID duplication error during new location setup","During the onboarding process for an additional location, the Sales Agent received an error message stating 'Location already exists' even though it's a new location being added. This issue caused confusion and delays in completing the merchant setup.",2,2,"Hardware","IT Support","Identified a configuration error in the API authentication settings, which was corrected to restore data retrieval functionality."
"INC00144","Unable to add new location for existing merchant ID","Merchants encountering access permissions error when trying to view the Merchant Agreement PDF for e-signing, causing delays in agreement completion.",2,2,"Hardware","IT Support","Identified a rendering issue with the PDF viewer component. Updated the PDF viewer software to the latest version, resolving the distortion problem for all merchants."
"INC00422","Access permission error preventing merchant fee configuration","While submitting location data for a merchant ID, a sudden network outage occurred, interrupting the data transmission process. This outage impacted the Sales Agent's ability to finalize the onboarding for the merchant, causing delays and data loss.",2,3,"Access","IT Support","Reset the merchant's login credentials and provided temporary access to review and e-sign the agreement. Investigated the root cause for further prevention."
"INC00007","Inability to scan documents due to scanner malfunction","An error occurs when a Sales Agent tries to save merchant data in the Sales UI, leading to incomplete information and hindered onboarding process.",1,2,"Hardware","IT Support","Performed a system cache refresh to reload the merchant data and ensured proper data mapping to display information accurately in the Sales UI."
"INC00485","Intermittent data loss in merchant review stage","A Sales Agent is unable to access the fee configuration page in the Merchant Onboarding Application, hindering the ability to set up customized fees for a new merchant account.",2,2,"Software","IT Support","The problem was resolved by identifying a bug in the fees calculation algorithm and applying a patch to ensure accurate calculation of fees for bundled services."
"INC00344","Inability to configure services for additional location","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",2,1,"Hardware","IT Support","Performed troubleshooting on the scanner, identified a hardware fault, and replaced the malfunctioning component. Subsequently, the Sales Agent was able to scan and upload the required documents without further impediments."
"INC00142","Equipment selection dropdown missing options","Some merchants receive authentication errors when attempting to log in to the Customer UI to review and e-sign the Merchant Agreement, preventing access to the document.",1,2,"Network","Network Ops","Implemented a software patch to fix the calculation algorithm, ensuring accurate fee configurations for all new and existing merchant accounts in the system."
"INC00157","Fee Configuration Permission Denial for New Sales Agent","The Sales Agent reported being unable to access the onboarding portal specifically for a particular merchant ID, hindering their ability to initiate the onboarding process for the new location. This access issue impacted the Sales Agent's workflow for that specific merchant.",1,2,"Access","Network Ops","Identified and rectified a backend API communication error, restoring the proper display of the UI post-login."
"INC00245","Merchant unable to e-sign Agreement due to session timeout","Sales Agent is unable to configure specific services for an additional location of a merchant due to a backend validation error, preventing the completion of the onboarding process.",1,2,"Software","IT Support","Identified a bug in the fee calculation algorithm. Patched the software, recalculated fees, and conducted thorough testing to ensure accurate calculations going forward."
"INC00236","Fees/services configuration not reflecting in final agreement","Sales Agent reported inability to load Sales UI when onboarding a new merchant, impacting multiple ongoing merchant registrations.",3,3,"Software","Network Ops","Reset authentication tokens for affected merchants. Conducted a thorough review of the authentication system to ensure proper functionality and prevent future login issues."
"INC00079","Inability to scan documents due to scanner malfunction","Sales Agent observes that the system is inaccurately calculating processing fees for a specific merchant account, leading to discrepancies in the final agreement.",3,3,"Software","IT Support","Replaced the malfunctioning hardware component on the Sales Agent's device, ensuring seamless continuation of the merchant data input process."
"INC00119","Error message 'Location already exists' when adding new location","Sales Agent encountered an error while trying to access the Merchant Agreement PDF for a new merchant, hindering the onboarding process.",2,1,"Software","IT Support","Investigated server-side PDF rendering issue and implemented a fix to ensure proper loading for all users."
"INC00214","Login credentials not working for merchant","Sales Agent encountered an error while trying to onboard an additional location for an existing merchant ID. The system failed to save the new location details.",1,1,"Hardware","IT Support","The access issue was traced back to a permission setting error and was resolved by adjusting the agent's role permissions to grant access to the required module."
"INC00045","Equipment selection dropdown not populating for new location","Merchant facing difficulties in submitting the e-signed Merchant Agreement through the UI, hindering the onboarding process.",2,2,"Software","IT Support","Identified a database inconsistency causing the false error message. Resolved the issue by correcting the location mapping in the database, allowing the Sales Agent to proceed with adding the new location."
"INC00337","Error in Equipment Configuration","The Sales Agent faced difficulties in scanning and uploading essential documents for the merchant onboarding process due to a scanner malfunction. This issue significantly impacted the efficiency of document submission and verification.",2,2,"Software","IT Support","Discovered a backend API communication issue preventing data transfer. Resolved the API connection problem, allowing merchant data to flow seamlessly to the Processing stage for further processing."
"INC00424","Sales UI not loading for Sales Agent","Merchants encounter session timeout errors while trying to e-sign the Merchant Agreement in the Customer UI, leading to unsuccessful e-signature submission.",3,1,"Network","IT Support","The issue was resolved by identifying a bug in the API code that was causing the error. A patch was applied to fix the issue, restoring functionality for merchant creation."
"INC00232","Sales Agent unable to access fee configuration page","An error occurs when a Sales Agent tries to save merchant data in the Sales UI, leading to incomplete information and hindered onboarding process.",2,3,"Access","Network Ops","Identified a font rendering issue in the PDF viewer plugin. Updated the plugin to the latest version, resolving the text display problem."
